# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:31:08Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.357064
# timer_overhead_ns=8.57
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
workload,allocator,rep,ops,ns_total,ops_per_sec,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,peak_payload_bytes,peak_block_bytes,peak_blocks,util_pct,meta_bytes_per_alloc,quarantined,arena_bytes,seed
seq_fifo,mars,11,400000,82344527,4857639.2,155.7,135.0,299.9,699.8,325900.1,8.57,524288,786432,8192,66.67,32.0,0,67108864,20260820
seq_fifo,system,1,400000,12793583,31265674.4,8.9,5.7,36.4,154.3,53352.2,8.57,0,0,0,0.00,0.0,0,67108864,20260810
seq_fifo,system,2,400000,12390760,32282119.9,7.9,5.7,35.0,71.1,21835.2,8.57,0,0,0,0.00,0.0,0,67108864,20260811
seq_fifo,system,3,400000,11380944,35146469.4,6.8,5.0,32.1,40.7,11182.2,8.57,0,0,0,0.00,0.0,0,67108864,20260812
seq_fifo,system,4,400000,12159039,32897336.7,7.9,5.4,34.3,51.1,17132.3,8.57,0,0,0,0.00,0.0,0,67108864,20260813
seq_fifo,system,5,400000,12198932,32789755.7,7.9,5.7,34.6,47.8,26643.1,8.57,0,0,0,0.00,0.0,0,67108864,20260814
seq_fifo,system,6,400000,11984799,33375611.9,7.1,5.4,33.2,60.3,14093.0,8.57,0,0,0,0.00,0.0,0,67108864,20260815
seq_fifo,system,7,400000,11421012,35023166.1,6.4,4.6,31.1,47.1,15798.0,8.57,0,0,0,0.00,0.0,0,67108864,20260816
seq_fifo,system,8,400000,11969767,33417526.0,7.5,5.4,34.3,47.5,14947.4,8.57,0,0,0,0.00,0.0,0,67108864,20260817
seq_fifo,system,9,400000,11985784,33372869.1,7.9,5.0,40.7,82.8,40868.2,8.57,0,0,0,0.00,0.0,0,67108864,20260818
seq_fifo,system,10,400000,11986474,33370948.0,8.2,4.6,43.6,97.1,56834.7,8.57,0,0,0,0.00,0.0,0,67108864,20260819
seq_fifo,system,11,400000,10995278,36379253.0,6.4,4.3,32.8,50.7,10771.2,8.57,0,0,0,0.00,0.0,0,67108864,20260820
random_size,mars,1,400000,84636689,4726082.8,160.0,132.8,388.5,722.7,182513.1,8.57,10256692,10522592,8192,97.47,32.5,0,67108864,20260810
random_size,mars,2,400000,90421172,4423742.7,171.7,135.0,459.9,985.5,212088.0,8.57,9718999,9984576,8192,97.34,32.4,0,67108864,20260811
random_size,mars,3,400000,84467802,4735532.2,159.6,129.3,362.8,814.1,99557.4,8.57,12544010,12810928,8192,97.92,32.6,0,67108864,20260812
random_size,mars,4,400000,103890826,3850195.6,191.7,145.0,528.5,1082.6,931734.5,8.57,8830988,9097216,8192,97.07,32.5,0,67108864,20260813
random_size,mars,5,400000,89711513,4458736.5,170.7,130.7,442.8,831.2,160609.0,8.57,7980160,8245600,8192,96.78,32.4,0,67108864,20260814
random_size,mars,6,400000,112575792,3553161.8,221.7,175.7,625.6,1728.2,413910.8,8.57,9571333,9836864,8192,97.30,32.4,0,67108864,20260815
random_size,mars,7,400000,99143803,4034543.6,192.5,140.0,548.5,1105.5,1522538.2,8.57,11512998,11779088,8192,97.74,32.5,0,67108864,20260816
random_size,mars,8,400000,89111694,4488748.7,169.2,137.8,399.9,717.0,253410.7,8.57,10709349,10975040,8192,97.58,32.4,0,67108864,20260817
random_size,mars,9,400000,90407104,4424431.1,171.7,130.7,474.2,894.1,158958.3,8.57,9442413,9708240,8192,97.26,32.4,0,67108864,20260818
random_size,mars,10,400000,86037083,4649158.1,163.2,132.8,405.6,905.5,75724.8,8.57,9856665,10122000,8192,97.38,32.4,0,67108864,20260819
random_size,mars,11,400000,82846612,4828199.9,156.0,128.5,329.9,762.7,324514.0,8.57,14073966,14339552,8192,98.15,32.4,0,67108864,20260820
random_size,system,1,400000,21476482,18625024.3,25.4,11.8,85.7,1116.9,79174.0,8.57,0,0,0,0.00,0.0,0,67108864,20260810
random_size,system,2,400000,19790708,20211505.3,23.2,11.1,83.6,388.5,96392.7,8.57,0,0,0,0.00,0.0,0,67108864,20260811
random_size,system,3,400000,20462338,19548108.3,25.0,11.1,93.6,1002.6,64063.1,8.57,0,0,0,0.00,0.0,0,67108864,20260812
random_size,system,4,400000,21350795,18734665.4,26.4,11.8,96.4,588.4,151863.8,8.57,0,0,0,0.00,0.0,0,67108864,20260813
random_size,system,5,400000,19588985,20419638.9,22.5,10.4,81.8,457.0,94611.3,8.57,0,0,0,0.00,0.0,0,67108864,20260814
random_size,system,6,400000,34621848,11553398.3,34.6,13.2,150.7,808.4,141416.1,8.57,0,0,0,0.00,0.0,0,67108864,20260815
random_size,system,7,400000,23743972,16846381.1,29.3,12.5,114.3,757.0,79068.7,8.57,0,0,0,0.00,0.0,0,67108864,20260816
random_size,system,8,400000,24241384,16500708.0,31.1,13.2,109.3,537.0,162594.3,8.57,0,0,0,0.00,0.0,0,67108864,20260817
random_size,system,9,400000,19737020,20266484.0,23.2,11.1,85.0,245.7,86453.5,8.57,0,0,0,0.00,0.0,0,67108864,20260818
random_size,system,10,400000,22116573,18085984.7,27.5,11.8,102.8,428.5,170141.2,8.57,0,0,0,0.00,0.0,0,67108864,20260819
