# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
# date=2026-08-24T19:40:30Z
# git_sha=971fd2e
# profile=fast
# preload=libmars_preload.so
# reps=11 programs=9
# note=wall time of whole processes; see tools/preload_bench.py
# heap_checks_passed=11 heap_checks_failed=0
program,allocator,rep,wall_ns,max_rss_kb,exit_code
gcc_compile,mars,6,176176929,25064,0
calloc_4mb_x200,glibc,6,35714887,12288,0
calloc_4mb_x200,mars,6,10922462,12288,0
calloc_4mb_x200,mars_nofresh,6,293450906,12288,0
calloc_4kb_x200000,glibc,6,12511911,12288,0
calloc_4kb_x200000,mars,6,42028155,12288,0
calloc_4kb_x200000,mars_nofresh,6,41558956,12288,0
ls_recursive,glibc,7,23949254,12288,0
ls_recursive,mars,7,40430328,12288,0
git_status,glibc,7,164796664,12288,0
git_status,mars,7,186155666,12288,0
git_log_stat,glibc,7,3176672981,12288,0
git_log_stat,mars,7,3010258966,12288,0
grep_recursive,glibc,7,44338684,12288,0
grep_recursive,mars,7,42783839,12288,0
python_sum,glibc,7,20344376,12288,0
python_sum,mars,7,26263257,12288,0
python_dict,glibc,7,96365985,47340,0
python_dict,mars,7,104646778,48156,0
gcc_compile,glibc,7,140170425,25728,0
gcc_compile,mars,7,163119817,25084,0
calloc_4mb_x200,glibc,7,40595223,12288,0
calloc_4mb_x200,mars,7,8371029,12288,0
calloc_4mb_x200,mars_nofresh,7,264810847,12288,0
calloc_4kb_x200000,glibc,7,12492717,12288,0
calloc_4kb_x200000,mars,7,41504398,12288,0
calloc_4kb_x200000,mars_nofresh,7,39602578,12288,0
ls_recursive,glibc,8,22171964,12288,0
ls_recursive,mars,8,28584159,12288,0
git_status,glibc,8,169914131,12288,0
git_status,mars,8,170016818,12288,0
git_log_stat,glibc,8,3154652279,12288,0
git_log_stat,mars,8,3051549824,12288,0
grep_recursive,glibc,8,49780456,12288,0
grep_recursive,mars,8,49354267,12288,0
python_sum,glibc,8,21539839,12288,0
python_sum,mars,8,31359329,12288,0
python_dict,glibc,8,109408810,47208,0
python_dict,mars,8,136011928,48276,0
gcc_compile,glibc,8,153565098,25344,0
gcc_compile,mars,8,177768927,25216,0
calloc_4mb_x200,glibc,8,57016078,12416,0
calloc_4mb_x200,mars,8,11089502,12416,0
calloc_4mb_x200,mars_nofresh,8,287081962,12416,0
calloc_4kb_x200000,glibc,8,12565446,12416,0
calloc_4kb_x200000,mars,8,42335816,12416,0
calloc_4kb_x200000,mars_nofresh,8,73063388,12416,0
ls_recursive,glibc,9,30636674,12416,0
ls_recursive,mars,9,36174369,12416,0
git_status,glibc,9,192749043,12416,0
git_status,mars,9,195046804,12416,0
git_log_stat,glibc,9,3184640965,12416,0
git_log_stat,mars,9,2892052691,12416,0
grep_recursive,glibc,9,42808787,12416,0
grep_recursive,mars,9,41791552,12416,0
python_sum,glibc,9,22745830,12416,0
python_sum,mars,9,24988026,12416,0
python_dict,glibc,9,101286012,47212,0
python_dict,mars,9,95752346,48280,0
gcc_compile,glibc,9,136803712,25728,0
gcc_compile,mars,9,161690087,25084,0
calloc_4mb_x200,glibc,9,31783418,12416,0
calloc_4mb_x200,mars,9,10224002,12416,0
calloc_4mb_x200,mars_nofresh,9,273811550,12416,0
calloc_4kb_x200000,glibc,9,12303091,12416,0
calloc_4kb_x200000,mars,9,41001021,12416,0
calloc_4kb_x200000,mars_nofresh,9,42543886,12416,0
ls_recursive,glibc,10,22352379,12416,0
ls_recursive,mars,10,29413843,12416,0
git_status,glibc,10,167316702,12416,0
git_status,mars,10,165937771,12416,0
git_log_stat,glibc,10,2987882176,12416,0
git_log_stat,mars,10,3046229941,12416,0
grep_recursive,glibc,10,41047269,12416,0
grep_recursive,mars,10,41919250,12416,0
python_sum,glibc,10,21314520,12416,0
python_sum,mars,10,24493690,12416,0
python_dict,glibc,10,112565473,47336,0
python_dict,mars,10,98266706,48024,0
gcc_compile,glibc,10,143796502,25472,0
gcc_compile,mars,10,160137227,25344,0
calloc_4mb_x200,glibc,10,35770469,12416,0
calloc_4mb_x200,mars,10,9085379,12416,0
calloc_4mb_x200,mars_nofresh,10,279047443,12416,0
calloc_4kb_x200000,glibc,10,13689645,12416,0
calloc_4kb_x200000,mars,10,43697810,12416,0
calloc_4kb_x200000,mars_nofresh,10,42479178,12416,0
ls_recursive,glibc,11,24413978,12416,0
ls_recursive,mars,11,31368577,12416,0
git_status,glibc,11,173497710,12416,0
git_status,mars,11,170278602,12416,0
git_log_stat,glibc,11,3487088622,12416,0
git_log_stat,mars,11,3683539572,12416,0
grep_recursive,glibc,11,47209152,12416,0
grep_recursive,mars,11,48928033,12416,0
python_sum,glibc,11,24577675,12416,0
python_sum,mars,11,29877321,12416,0
python_dict,glibc,11,115571306,47336,0
python_dict,mars,11,108274366,48276,0
gcc_compile,glibc,11,152543758,25576,0
gcc_compile,mars,11,190304586,25064,0
calloc_4mb_x200,glibc,11,53681527,12416,0
calloc_4mb_x200,mars,11,9905478,12416,0
calloc_4mb_x200,mars_nofresh,11,334732411,12416,0
calloc_4kb_x200000,glibc,11,14927333,12416,0
calloc_4kb_x200000,mars,11,49408691,12416,0
calloc_4kb_x200000,mars_nofresh,11,44110633,12416,0
