# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-15T18:50:59Z
# git_sha=4b0a311
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.356736
# timer_overhead_ns=10.35
# profile=hardened metadata_bytes=24
# counters=on
workload,allocator,rep,ops,ns_total,ops_per_sec,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,peak_payload_bytes,peak_block_bytes,peak_blocks,util_pct,meta_bytes_per_alloc,quarantined,arena_bytes,seed
churn,mars,4,40000,8641535,4628807.3,137.3,108.1,339.3,2044.5,53846.7,10.35,2686311,2705808,512,99.28,38.1,0,33554432,20260813
churn,mars,5,40000,7731895,5173376.0,123.4,100.2,287.9,1216.8,44683.6,10.35,3175881,3194944,512,99.40,37.2,0,33554432,20260814
churn,system,1,40000,2319472,17245304.1,19.6,10.7,206.5,577.6,65438.1,10.35,0,0,0,0.00,0.0,0,33554432,20260810
churn,system,2,40000,2342057,17079003.6,24.6,10.7,219.4,614.7,124828.2,10.35,0,0,0,0.00,0.0,0,33554432,20260811
churn,system,3,40000,2038877,19618643.0,18.9,9.6,183.7,486.2,52129.4,10.35,0,0,0,0.00,0.0,0,33554432,20260812
churn,system,4,40000,2510512,15933004.9,22.5,12.5,230.8,620.4,26122.3,10.35,0,0,0,0.00,0.0,0,33554432,20260813
churn,system,5,40000,2805423,14258099.4,28.9,15.7,279.3,828.7,20695.7,10.35,0,0,0,0.00,0.0,0,33554432,20260814
realloc_grow,mars,1,20001,5516143,3625903.1,202.3,175.2,360.7,1005.6,47492.2,10.35,1005308,1005344,1,100.00,36.0,0,33554432,20260810
realloc_grow,mars,2,20001,6339829,3154817.0,242.6,220.8,340.7,1188.3,240125.8,10.35,1005308,1005344,1,100.00,36.0,0,33554432,20260811
realloc_grow,mars,3,20001,4028669,4964667.0,140.9,134.5,260.8,423.4,21004.6,10.35,1005308,1005344,1,100.00,36.0,0,33554432,20260812
realloc_grow,mars,4,20001,7246043,2760265.2,279.7,222.2,683.1,2820.7,161989.3,10.35,1005308,1005344,1,100.00,36.0,0,33554432,20260813
realloc_grow,mars,5,20001,3863711,5176629.4,133.4,125.2,153.0,537.6,25093.1,10.35,1005308,1005344,1,100.00,36.0,0,33554432,20260814
realloc_grow,system,1,20001,8635166,2316226.5,372.8,72.1,3482.8,14692.9,131671.1,10.35,0,0,0,0.00,0.0,0,33554432,20260810
realloc_grow,system,2,20001,6598245,3031260.6,279.7,54.6,3277.3,3756.8,87629.6,10.35,0,0,0,0.00,0.0,0,33554432,20260811
realloc_grow,system,3,20001,7150614,2797102.5,306.4,62.1,3437.1,4030.8,52638.1,10.35,0,0,0,0.00,0.0,0,33554432,20260812
realloc_grow,system,4,20001,6820984,2932274.9,297.2,54.9,3254.5,3711.1,369728.2,10.35,0,0,0,0.00,0.0,0,33554432,20260813
realloc_grow,system,5,20001,7323240,2731168.2,310.0,59.6,3574.1,5332.1,41393.8,10.35,0,0,0,0.00,0.0,0,33554432,20260814
fragmentation,mars,1,32768,10882548,3011059.5,175.9,141.6,914.3,1976.0,300668.5,10.35,8650752,9175040,16384,94.29,32.0,0,33554432,20260810
fragmentation,mars,2,32768,11524327,2843376.5,194.8,103.1,640.3,2341.3,1171140.0,10.35,8650752,9175040,16384,94.29,32.0,0,33554432,20260811
fragmentation,mars,3,32768,11225574,2919049.0,133.8,108.8,332.1,771.6,53664.4,10.35,8650752,9175040,16384,94.29,32.0,0,33554432,20260812
fragmentation,mars,4,32768,8995406,3642748.3,129.1,105.2,295.0,643.2,30269.7,10.35,8650752,9175040,16384,94.29,32.0,0,33554432,20260813
fragmentation,mars,5,32768,10374896,3158393.1,139.5,113.1,394.9,1313.9,39642.6,10.35,8650752,9175040,16384,94.29,32.0,0,33554432,20260814
fragmentation,system,1,32768,11411718,2871434.4,264.0,48.2,2581.0,43094.7,679323.7,10.35,0,0,0,0.00,0.0,0,33554432,20260810
fragmentation,system,2,32768,8873694,3692712.4,178.0,46.4,2284.2,5035.3,181005.5,10.35,0,0,0,0.00,0.0,0,33554432,20260811
fragmentation,system,3,32768,7923756,4135412.5,164.5,41.7,2341.3,5332.1,249366.7,10.35,0,0,0,0.00,0.0,0,33554432,20260812
fragmentation,system,4,32768,8007422,4092203.5,163.4,46.4,2569.6,5400.6,95469.6,10.35,0,0,0,0.00,0.0,0,33554432,20260813
fragmentation,system,5,32768,9118419,3593605.4,178.0,52.4,1930.3,4784.2,206729.7,10.35,0,0,0,0.00,0.0,0,33554432,20260814
validated_access,mars,1,40000,151509473,264009.9,3553.4,182.3,23734.0,45103.9,555678.4,10.35,65536,65568,1,99.95,32.0,0,33554432,20260810
validated_access,mars,2,40000,171025394,233883.4,4004.0,182.3,27569.6,54418.9,357483.3,10.35,65536,65568,1,99.95,32.0,0,33554432,20260811
validated_access,mars,3,40000,136335121,293394.7,3173.5,180.9,15149.5,43825.3,345630.0,10.35,65536,65568,1,99.95,32.0,0,33554432,20260812
validated_access,mars,4,40000,145718279,274502.3,3420.4,180.9,18985.1,35058.2,276944.5,10.35,65536,65568,1,99.95,32.0,0,33554432,20260813
validated_access,mars,5,40000,131237169,304791.7,3076.1,180.9,13962.3,31222.6,424071.2,10.35,65536,65568,1,99.95,32.0,0,33554432,20260814
validated_access,system,1,40000,21321013,1876083.5,475.2,12.1,2078.7,3916.6,167865.8,10.35,0,0,0,0.00,0.0,0,33554432,20260810
validated_access,system,2,40000,18960393,2109660.9,422.7,11.4,2272.8,2797.9,142914.3,10.35,0,0,0,0.00,0.0,0,33554432,20260811
validated_access,system,3,40000,17812119,2245662.1,393.1,11.4,1781.9,2432.6,64887.0,10.35,0,0,0,0.00,0.0,0,33554432,20260812
validated_access,system,4,40000,17276122,2315334.4,383.8,10.7,1610.7,2010.2,45605.1,10.35,0,0,0,0.00,0.0,0,33554432,20260813
validated_access,system,5,40000,17615388,2270741.9,390.6,10.7,1702.0,2912.0,39609.1,10.35,0,0,0,0.00,0.0,0,33554432,20260814
