# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:34:25Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.355454
# timer_overhead_ns=7.46
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
mt_churn,mars,arena,4,10,800000,66455199,12038185.3,3009546.3,248.1,224.3,490.2,4587.8,2772536.9,7.46,0,10190183,10265264,2048,20270809
mt_churn,mars,arena,4,11,800000,69760262,11467846.8,2866961.7,249.5,214.3,484.5,3222.9,6097065.3,7.46,0,9967540,10043104,2048,20271809
mt_churn,mars,arena,8,1,1600000,95458641,16761185.6,2095148.2,351.5,257.0,512.9,8182.2,6039174.9,7.46,0,19445463,19596320,4096,20261809
mt_churn,mars,arena,8,2,1600000,85062556,18809686.4,2351210.8,299.3,261.3,498.7,3655.1,1952767.0,7.46,0,22997653,23148272,4096,20262809
mt_churn,mars,arena,8,3,1600000,81466247,19640035.7,2455004.5,303.6,264.1,498.7,3632.4,1996405.1,7.46,0,20977570,21128080,4096,20263809
mt_churn,mars,arena,8,4,1600000,81274289,19686422.6,2460802.8,307.1,268.4,515.8,4838.1,2077191.6,7.46,0,20183851,20335088,4096,20264809
mt_churn,mars,arena,8,5,1600000,84259144,18989037.0,2373629.6,315.6,268.4,510.1,4269.4,3934624.4,7.46,0,21077423,21229280,4096,20265809
mt_churn,mars,arena,8,6,1600000,84923017,18840593.0,2355074.1,312.1,265.5,510.1,4678.8,4695118.4,7.46,0,19272598,19424864,4096,20266809
mt_churn,mars,arena,8,7,1600000,89264748,17924209.0,2240526.1,325.6,269.8,524.3,6726.3,5011773.6,7.46,0,20989594,21141328,4096,20267809
mt_churn,mars,arena,8,8,1600000,100696884,15889270.2,1986158.8,368.3,261.3,547.0,10912.1,8727413.5,7.46,0,18917125,19068592,4096,20268809
mt_churn,mars,arena,8,9,1600000,94394062,16950218.8,2118777.3,338.4,268.4,547.0,7681.7,2853125.1,7.46,0,23188516,23338704,4096,20269809
mt_churn,mars,arena,8,10,1600000,88890736,17999626.0,2249953.2,337.3,275.5,552.7,5133.8,3556388.9,7.46,0,20425608,20575744,4096,20270809
mt_churn,mars,arena,8,11,1600000,92998632,17204554.1,2150569.3,341.6,274.1,541.4,6498.8,3514855.5,7.46,0,19691620,19843664,4096,20271809
mt_churn,system,arena,1,1,200000,9532330,20981229.1,20981229.1,17.8,10.0,164.6,484.5,74613.0,7.46,0,0,0,0,20261809
mt_churn,system,arena,1,2,200000,7921493,25247765.8,25247765.8,15.3,9.2,146.8,346.6,25010.8,7.46,0,0,0,0,20262809
mt_churn,system,arena,1,3,200000,8618659,23205466.2,23205466.2,18.1,9.6,159.6,464.6,99817.2,7.46,0,0,0,0,20263809
mt_churn,system,arena,1,4,200000,8051474,24840172.1,24840172.1,15.6,9.2,152.5,476.0,15132.4,7.46,0,0,0,0,20264809
mt_churn,system,arena,1,5,200000,7790548,25672135.0,25672135.0,14.6,9.2,146.8,335.2,21940.0,7.46,0,0,0,0,20265809
mt_churn,system,arena,1,6,200000,10154548,19695608.3,19695608.3,22.4,10.3,173.8,495.9,474732.4,7.46,0,0,0,0,20266809
mt_churn,system,arena,1,7,200000,9511914,21026262.4,21026262.4,17.8,10.0,164.6,421.9,53362.9,7.46,0,0,0,0,20267809
mt_churn,system,arena,1,8,200000,8024808,24922714.7,24922714.7,15.3,9.2,146.1,421.9,26766.4,7.46,0,0,0,0,20268809
mt_churn,system,arena,1,9,200000,8735733,22894472.6,22894472.6,17.8,10.0,166.7,436.1,52935.6,7.46,0,0,0,0,20269809
mt_churn,system,arena,1,10,200000,8993699,22237791.1,22237791.1,15.6,9.2,152.5,421.9,33767.4,7.46,0,0,0,0,20270809
mt_churn,system,arena,1,11,200000,9113803,21944735.9,21944735.9,16.0,9.6,153.9,390.6,41784.0,7.46,0,0,0,0,20271809
mt_churn,system,arena,2,1,400000,12138701,32952455.1,16476227.6,28.4,19.2,204.4,547.0,365534.1,7.46,0,0,0,0,20261809
mt_churn,system,arena,2,2,400000,11538670,34666040.4,17333020.2,24.5,17.1,184.5,458.9,173824.9,7.46,0,0,0,0,20262809
mt_churn,system,arena,2,3,400000,12108619,33034320.4,16517160.2,27.7,19.9,200.1,601.1,46655.1,7.46,0,0,0,0,20263809
mt_churn,system,arena,2,4,400000,13279080,30122568.7,15061284.4,23.5,10.0,173.1,919.6,355139.9,7.46,0,0,0,0,20264809
